"Site Time","METER - PRODUCTION - System B Kilowatt hours","METER - PRODUCTION - System A Kilowatt hours","Site Performance Estimate Kilowatt hours"
09-09-2025 00:00:00,0,0,0
09-09-2025 01:00:00,0,0,0
09-09-2025 02:00:00,-0,0,0
09-09-2025 03:00:00,0,0,0
09-09-2025 04:00:00,-0,0,0
09-09-2025 05:00:00,0,0,0
09-09-2025 06:00:00,0,0,4.985
09-09-2025 07:00:00,0,0,186.378
09-09-2025 08:00:00,149.001,164.438,590.796
09-09-2025 09:00:00,558.316,585.157,982.623
09-09-2025 10:00:00,619.102,616.804,1266.956
09-09-2025 11:00:00,886.491,884.29,1431.988
09-09-2025 12:00:00,488.935,913.754,1491.509
09-09-2025 13:00:00,190.555,165.957,1475.703
09-09-2025 14:00:00,0,0,1373.203
09-09-2025 15:00:00,0,0,1157.84
09-09-2025 16:00:00,-0,0,826.117
09-09-2025 17:00:00,0,0,411.882
09-09-2025 18:00:00,0,0,74.99
09-09-2025 19:00:00,0,0,0
09-09-2025 20:00:00,-0,0,0
09-09-2025 21:00:00,0,0,0
09-09-2025 22:00:00,0,0,0
09-09-2025 23:00:00,0,0,0
09-10-2025 00:00:00,0,0,0
09-10-2025 01:00:00,0,0,0
09-10-2025 02:00:00,0,0,0
09-10-2025 03:00:00,-0,0,0
09-10-2025 04:00:00,0,0,0
09-10-2025 05:00:00,0,0,0
09-10-2025 06:00:00,0,0,4.186
09-10-2025 07:00:00,0,0,182.217
09-10-2025 08:00:00,0,0,586.216
09-10-2025 09:00:00,-0,0,978.997
09-10-2025 10:00:00,0,0,1264.127
09-10-2025 11:00:00,0,0,1429.72
09-10-2025 12:00:00,0,0,1489.774
09-10-2025 13:00:00,0,0,1473.186
09-10-2025 14:00:00,0,0,1368.886
09-10-2025 15:00:00,0,0,1151.567
09-10-2025 16:00:00,0,0,817.712
09-10-2025 17:00:00,0,0,402.433
09-10-2025 18:00:00,0,0,70.315
09-10-2025 19:00:00,0,0,0
09-10-2025 20:00:00,0,0,0
09-10-2025 21:00:00,0,0,0
09-10-2025 22:00:00,0,0,0
09-10-2025 23:00:00,0,-0,0
09-11-2025 00:00:00,0,0,0
09-11-2025 01:00:00,0,0,0
09-11-2025 02:00:00,0,0,0
09-11-2025 03:00:00,0,0,0
09-11-2025 04:00:00,0,0,0
09-11-2025 05:00:00,0,0,0
09-11-2025 06:00:00,-0,0,3.4
09-11-2025 07:00:00,0,0,178.062
09-11-2025 08:00:00,0,0,581.621
09-11-2025 09:00:00,0,0,975.377
09-11-2025 10:00:00,267.663,289.915,1261.329
09-11-2025 11:00:00,809.178,735.837,1427.505
09-11-2025 12:00:00,851.81,709.9,1488.047
09-11-2025 13:00:00,847.641,877.848,1470.612
09-11-2025 14:00:00,3.608,0,1364.583
09-11-2025 15:00:00,-0,0,1145.263
09-11-2025 16:00:00,0,0,809.236
09-11-2025 17:00:00,0,0,392.95
09-11-2025 18:00:00,0,0,65.714
09-11-2025 19:00:00,0,0,0
09-11-2025 20:00:00,0,0,0
09-11-2025 21:00:00,0,0,0
